table_name,sensor,variable,n,min,p05,p25,median,mean,p75,p95,max,std
training_matrix_optical_matched_1d.csv,Sentinel-2,swir1,35,0.0001087005314367,0.0008646556131386502,0.0102439355075119,0.0426599999999999,0.07881434224610186,0.0976137793612242,0.2568165025633822,0.306,0.08948158944666214
training_matrix_optical_matched_1d.csv,Sentinel-2,swir2,35,0.000717817711853,0.0010203842770838702,0.008965145028157,0.0391039013732834,0.07373200258001884,0.09434893882434581,0.26773048112058456,0.2994,0.08907523751332101
training_matrix_optical_matched_1d.csv,Sentinel-2,ndwi,35,-0.1878272251308901,-0.1321271422284009,0.010815366870730151,0.0771348701557872,0.1348860214943763,0.20040807784276687,0.5705010124499026,0.8554780752723878,0.21983505625571476
training_matrix_optical_matched_1d.csv,Sentinel-2,mndwi,35,-0.2304817937144249,0.026590499723185716,0.2163494508627696,0.501920855416403,0.5074053633300655,0.829151427075287,0.9665589376879421,0.9904057743696292,0.34865851041498325
training_matrix_optical_matched_1d.csv,Sentinel-2,red_green_ratio,35,0.7586613505770644,0.8184323218089229,0.8919525548177614,0.9514031485284052,0.9919408875333734,1.1160000534107213,1.1973673287619375,1.3476717661601354,0.14027415378664385
training_matrix_optical_matched_1d.csv,Sentinel-2,green_blue_ratio,35,0.5116749268974948,0.7629392664069422,0.896307545071001,0.975071907957814,1.071775155423634,1.1694133781480351,1.5719086449120003,2.576833152381195,0.34727232445375544
training_matrix_optical_matched_3d.csv,HLS,blue,19,-1.3100000000000002e-06,3.7792036339826545e-07,1.162641800246609e-06,2.7312262534318543e-06,3.35253048700454e-06,5.152867006052177e-06,7.0059999999999885e-06,1.21e-05,3.0671641175142686e-06
training_matrix_optical_matched_3d.csv,HLS,green,19,7.000000000000001e-07,1.2106798336798338e-06,1.8918204488778055e-06,4.539375209317898e-06,5.304247394977095e-06,7.810083237146391e-06,1.1127999435347247e-05,1.788e-05,4.339962099903262e-06
training_matrix_optical_matched_3d.csv,HLS,red,19,9.4e-07,1.2100000000000003e-06,2.031750872471125e-06,5.816790576312208e-06,6.080065785994084e-06,9.05447316431161e-06,1.3989647058823524e-05,1.648e-05,4.704797083495388e-06
training_matrix_optical_matched_3d.csv,HLS,nir,19,1.2000000000000004e-07,3.0900000000000003e-07,1.3698614678649455e-06,2.28e-06,4.508790552784279e-06,5.750716516437894e-06,1.668863465332127e-05,1.871849087741817e-05,5.206223731529065e-06
training_matrix_optical_matched_3d.csv,HLS,swir1,19,1.0000000000000001e-07,2.077536256323778e-07,4.047248070463039e-07,6.568209953520016e-07,2.7114488048960812e-06,1.2294014587748268e-06,1.614452629359134e-05,2.183335302600363e-05,5.76474438381691e-06
training_matrix_optical_matched_3d.csv,HLS,swir2,19,9.463208057185233e-08,1.9361226818966398e-07,4.3025139275715163e-07,5.501430228063395e-07,2.4811720307359433e-06,1.007177672606288e-06,1.3523125958378948e-05,2.277216867469879e-05,5.627202734411023e-06
training_matrix_optical_matched_3d.csv,HLS,ndwi,19,-0.5672514619883041,-0.2604507296021928,-0.02754735398270735,0.2227754947917466,0.18700397924656895,0.4013433252137618,0.6036881292488824,0.9393939393939394,0.33509527177183024
training_matrix_optical_matched_3d.csv,HLS,mndwi,19,-0.2731606375514482,-0.06966900493161543,0.26439527797154866,0.5391905917134212,0.5016141299651283,0.7730615023530822,0.9524371327873529,0.9666317701339722,0.3644363967970643
training_matrix_optical_matched_3d.csv,HLS,red_green_ratio,19,0.7822085889570551,0.800413637625979,1.0200468454234801,1.214374693307245,1.1746545197964466,1.292301990566337,1.436854954020338,1.6875773179811628,0.22834863589420307
training_matrix_optical_matched_3d.csv,HLS,green_blue_ratio,19,-0.3544303797468354,1.0565150039833582,1.396737409547308,1.5536319561917031,1.470143805954062,1.651488506060545,1.8175673055677624,2.4305968900698987,0.5110780277063552
training_matrix_optical_matched_3d.csv,Landsat,blue,97,-0.031205,0.008577878596744682,0.0328486705407969,0.0479679762163059,0.05453594360050916,0.060230775101461,0.10529182064975844,0.4971434101040118,0.059910760248790676
training_matrix_optical_matched_3d.csv,Landsat,green,97,0.0153746671333748,0.02012017581391368,0.0391275,0.0658659466910963,0.06983403062180865,0.0836235928551185,0.12569057920594157,0.49615975,0.05701189308834668
training_matrix_optical_matched_3d.csv,Landsat,red,97,0.01252,0.01948066892395494,0.0399711669595782,0.0669420277396957,0.07224878693924629,0.0900315418680369,0.12633566063418733,0.49309075,0.056825386485308334
